0,1,8,8,103,8,4,77.0,134.0,,
1,1,8,8,15,2,2,277.0,16.0,,
2,1,8,8,12,3,6,85.0,49.0,,
3,1,8,8,8,2,5,53.0,15.0,,
4,1,8,8,10,1,4,67.0,29.0,,
5,1,8,8,6,3,1,18.0,41.0,,
6,1,8,8,40,3,5,119.0,61.0,,
7,1,8,8,15,3,4,178.0,26.0,,
8,1,8,8,62,1,2,276.0,61.0,,
9,1,8,8,9,2,3,57.0,17.0,,
10,1,8,8,7,6,1,15.0,30.0,,
11,1,8,8,6,2,3,29.0,21.0,,
12,2,8,8,22,17,3,166.0,4.0,223.0,
13,1,8,8,10,2,8,74.0,43.0,,
14,1,8,8,10,3,3,90.0,22.0,,
15,1,8,8,6,7,2,16.0,30.0,,
16,2,8,8,7,3,6,40.0,27.0,2.0,
17,1,8,8,11,2,5,76.0,49.0,,
18,2,8,8,30,2,7,83.0,37.0,1.0,
19,2,8,8,10,2,5,54.0,20.0,32.0,
20,1,8,8,12,2,3,44.0,73.0,,
21,1,8,8,10,2,7,82.0,35.0,,
22,1,8,8,6,3,7,52.0,28.0,,
23,1,8,8,7,2,2,45.0,18.0,,
24,1,8,8,15,1,3,170.0,37.0,,
25,2,8,8,27,4,5,50.0,22.0,2.0,
26,1,8,8,51,3,6,91.0,142.0,,
27,4,8,8,7,3,4,16.0,23.0,7.0,
28,3,8,8,8,2,7,33.0,6.0,31.0,
29,1,8,8,6,2,2,19.0,15.0,,
30,1,8,8,11,1,3,86.0,34.0,,
31,1,8,8,13,4,2,94.0,97.0,,
32,1,8,8,10,3,4,88.0,11.0,,
33,1,8,8,28,3,5,63.0,58.0,,
34,1,8,8,8,4,7,50.0,43.0,,
35,1,8,8,15,2,4,138.0,87.0,,
36,1,8,8,10,1,3,45.0,44.0,,
37,1,8,8,20,7,5,57.0,75.0,,
38,1,8,8,12,7,3,161.0,53.0,,
39,1,8,8,88,2,2,124.0,244.0,,
40,3,8,8,13,3,16,15.0,67.0,62.0,4.0
41,1,8,8,13,2,3,92.0,77.0,,
42,2,8,8,6,2,2,17.0,16.0,17.0,
43,1,8,8,10,7,6,81.0,50.0,,
44,2,8,8,9,3,4,60.0,1.0,37.0,
45,1,8,8,13,2,3,65.0,60.0,,
46,1,8,8,16,10,7,101.0,139.0,,
47,1,8,8,13,1,3,106.0,31.0,,
48,2,8,8,21,14,3,157.0,3.0,186.0,
49,1,8,8,14,3,3,130.0,43.0,,
